nombre,unidad,tipo,estacion,cai,telefono,direccion,horario,latitud,longitud
CAI Aures,Valle de Aburrá,CAI,Estación Castilla,CAI Aures,3163336719,Carrera 80 Nro. 93A-02 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2699342,-75.5952768
CAI Bolívar,Valle de Aburrá,CAI,Estación Candelaria,CAI Bolívar,3184826555,Carrera 49 Nro.54-12 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.1963672,-75.5806222
CAI Boston,Valle de Aburrá,CAI,Estación Candelaria,CAI Boston,3182355514,Calle 51 Nro.39-12 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2491183,-75.5647368
CAI Cerro el Volador,Valle de Aburrá,CAI,Estación Castilla,CAI Cerro el Volador,3163653777,Carrera 65 Nro. 64-51 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2324615,-75.5828077
CAI El Playón,Valle de Aburrá,CAI,Estación Santa Cruz,CAI El Playón,3183877724,Carrera 52 Nro. 124-20 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2286071,-75.5774134
CAI La Milagrosa,Valle de Aburrá,CAI,Estación Buenos Aires,CAI La Milagrosa,3182555462,Carrera 30 Nro. 41-14 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.1995584,-75.562939
CAI Las Palmas,Valle de Aburrá,CAI,Estación Buenos Aires,CAI Las Palmas,3173777529,Kilómetro 12 vía Las Palmas (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.227131,-75.5653201
CAI Macarena,Valle de Aburrá,CAI,Estación Laureles,CAI Macarena,3173330581,Carrera 63A Nro. 44-140 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2382592,-75.5789409
CAI Minorista,Valle de Aburrá,CAI,Estación Candelaria,CAI Minorista,3182555259,Calle 57 B Nro. 57-04 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2682905,-75.5918004
CAI Paris,Valle de Aburrá,CAI,Estación Bello,CAI Paris,3178555970,Calle 20E Nro. 70-03 (Bello),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.30803,-75.551593
CAI Parque Envigado,Valle de Aburrá,CAI,Estación Envigado,CAI Parque Envigado,3182555201,Calle 38 Sur Nro. 42-20 (Envigado),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.1730457,-75.592863
CAI Pedregal,Valle de Aburrá,CAI,Estación Doce de Octubre,CAI Pedregal,3182683336,Calle 102B Nro. 72-06 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.3054599,-75.5847772
CAI Periférico Bello Oriente,Valle de Aburrá,CAI,Estación Manrique,CAI Periférico Bello Oriente,3154133312,Calle 86B Nro. 22B – 82 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2797694,-75.545867
CAI Periférico La Avanzada,Valle de Aburrá,CAI,Estación Popular,CAI Periférico La Avanzada,3173747776,Calle 107B Nro. 23A-05 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2951176,-75.5434883
CAI Periférico La Cruz,Valle de Aburrá,CAI,Estación Manrique,CAI Periférico La Cruz,3164187775,Calle 79C Nro. 23C -110 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2838823,-75.5846718
CAI Poblado,Valle de Aburrá,CAI,Estación Poblado,CAI Poblado,3042946326,Carrera 43A Nro. 9-09 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2227758,-75.569326
CAI San Antonio,Valle de Aburrá,CAI,Estación Candelaria,CAI San Antonio,3182355505,Carrera 46 Nro.44-109 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2294647,-75.5732488
CAI San Félix,Valle de Aburrá,CAI,Estación Bello,CAI San Félix,3173743331,CORREGIMIENTO SAN FELIX (Bello),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.3396526,-75.6079131
CAI San Mitchel,Valle de Aburrá,CAI,Estación San Javier,CAI San Mitchel,3158897333,Calle 39F Nro. 108-75 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.2391673,-75.5636321
CAI Solla,Valle de Aburrá,CAI,Estación Castilla,CAI Solla,3168218777,Carrera 64AA Nro. 120-12 (Medellín),Lunes a viernes de 08:00 a.m – 12:00 p.m y 02:00 p.m – 05:00 p.m,6.3052333,-75.5600176
