id,nombre,tipo,telefono,website,ciudad,latitud,longitud
relation/5499088,IPS Universitaria - Clínica León XIII,clinica,(+574) 444 95 70,https://www.ipsuniversitaria.com.co/es/,,6.2666391,-75.5642517
relation/6401602,,hospital,,,,6.3306803,-75.5577305
way/32774024,Pabellón de Salud Mental,hospital,,,,6.2622682,-75.564473
way/32774053,Policlínica,clinica,,,,6.263886,-75.5655879
way/48616108,Centro de Salud La Loma,hospital,,,,6.2719055,-75.6310701
way/52514672,Hospital Zamora,hospital,,,,6.3094961,-75.5518507
way/67919138,CAI periferico La Loma,policia,,,,6.2622848,-75.6255723
way/89578676,Unidad Hospitalaria San Javier,hospital,,,,6.2542939,-75.620306
way/109200128,Clínica Victoriana,hospital,,,,6.2559798,-75.5634311
way/113053216,Centro de salud florencia,hospital,,,,6.3083655,-75.569631
way/120374270,Unidad Hospitalaria de Buenos Aires,hospital,,,Comuna 9 - Buenos Aires,6.2417488,-75.5537389
way/122726424,Hospital Concejo de Medellín,hospital,+57 4 2637000 - 2635424,,,6.2683059,-75.5583297
way/123621236,Comando de Policia San Cristobal,policia,,,,6.2773667,-75.6361442
way/123992407,Clínica El Sagrado Corazón,hospital,,,Comuna 9 - Buenos Aires,6.2427225,-75.5572768
way/134646950,Hospital Venancio Díaz Díaz,hospital,,http://www.esevenanciodiaz-sabaneta-antioquia.gov.co/,Sabaneta,6.147996,-75.6218066
way/151876095,CAI San Michel,policia,,,,6.2538765,-75.6218407
way/151943833,Centro de Salud Villa Laura,hospital,,,,6.2460175,-75.6197524
way/160069295,Laboratorio de Policía Científica y Criminalística,policia,,,,6.2701591,-75.5723316
way/179221628,Hospital Pablo Tobón Uribe,hospital,,https://www.hptu.org.co/,Medellin,6.2773157,-75.5797119
way/180633571,Bomberos Aeronauticos,bomberos,,,,6.2207423,-75.5890701
way/220964665,Clínica de Oftalmología Sandiego,clinica,,,Medellín,6.2289005,-75.5692414
way/236153791,Clínica del Prado - Sede Ciudad del Río,hospital,,,,6.2224098,-75.5748752
way/238527414,Cooperativa de Salud San Esteban,hospital,,,,6.278282,-75.6361414
way/238806027,Unidad Hospitalaria San Cristóbal. Metrosalud.,hospital,,,,6.2788851,-75.635892
way/238806028,Centro Médico Génesis. Dr. Mario León Uribe.,hospital,,,,6.2779046,-75.6354349
way/271284725,Clínica Cardio Vid,hospital,,,,6.279388,-75.5846937
way/271287360,Centro de Salud Civiton,clinica,,,,6.2851734,-75.5932213
way/272060405,Fuerte Carabineros,policia,,,,6.2798618,-75.5093294
way/273610634,Torre Médica Ciudad del Rio,clinica,+57 4 5897843,,,6.2232304,-75.574839
way/274845654,Hospital Universitario Pontificia Bolivariana,hospital,,,,6.2769431,-75.5823273
way/294740282,Clínica las Americas del Sur,hospital,,https://clinicalasamericas.lasamericas.com.co/Sedes/Sede-Sur,,6.1785787,-75.5834448
way/300064788,Unidad Hospitalaria Doce de Octubre,hospital,+57 4 4782800,,,6.3023657,-75.578408
way/304618526,Estación de Policía Belén,policia,,,,6.2216904,-75.5959994
way/323902877,Clínica del Norte,clinica,,,,6.34292,-75.5459203
way/336869330,CAI Periferico El Salado Parta Alta,policia,,,,6.2540828,-75.6296904
way/339231702,Centro de Salud Santo Domingo Savio,clinica,,,Comuna 1 - Popular,6.2954895,-75.5433504
way/343221170,Hospital Universitario San Vicente Paul,hospital,,,,6.2628386,-75.5652201
way/344812014,Carisma Centro de Rehabilitación,hospital,,,Medellin,6.2423025,-75.6186297
way/344821441,Base Militar,policia,,,,6.2476808,-75.6289098
way/346618018,Centro De Salud Picacho,hospital,,,,6.2971042,-75.5830432
way/346623968,Unidad Hospitalaria Doce De Octubre Luis Carlos Galán Sarmiento,hospital,,,,6.3082528,-75.5744993
way/346625675,Estacion De Policia Barrio Santander,policia,,,,6.3098411,-75.574675
